,Apela,Bambi,Bmp4,Bmp6,Bmp7,Bnc2,Calca,Cnpy1,Cx3cl1,Dbx1,Dkk2,Dlk1,Dlx2,Dmrt1,Dmrt3,Ednrb,Efna2,Egfem1,Emx2,En1,En2,Ephb2,Eya4,Fezf1,Fezf2,Fgf15,Fgf17,Fgf8,Fgfr3,Folr1,Foxa1,Foxa2,Foxj1,Fzd5,Gli3,Gsx2,Hes3,Hopx,Hoxb1,Igfbp5,Irs4,Irx1,Irx3,Irx5,Ism1,Klhl14,Lhx5,Lmo2,Lmx1a,Lmx1b,Lrtm1,Maf,Metrnl,Msx1,Msx2,Msx3,Ngf,Nkx2-1,Nkx2-2,Nkx2-9,Nkx6-1,Nkx6-2,Nr2e1,Nrg1,Nrg3,Ntf3,Ntn1,Ostm1,Pappa,Pax3,Pax5,Pax6,Pax7,Pax8,Phox2b,Ptch1,Ptprz1,Ptx3,Rax,Ror1,Rspo1,Rspo2,Rspo3,Rxrg,Sema5a,Shh,Sim1,Six3,Six6,Slit1,Sost,Sp8,Spon1,Stum,Tal2,Tfap2c,Tox2,Trh,Trhr,Unc5c,Veph1,Wnt1,Wnt3,Wnt3a,Wnt4,Wnt5a,Wnt5b,Wnt7b,Wnt8b,Wnt9a
1019,1.9859136,0.8354715,1.8072708,0.5063352,18.43975,11.032171,0.0,0.0,0.0,0.0,8.862331,242.62326,5.0758195,0.0,24.744331,8.211595,7.5169125,85.49455,221.9298,0.0,0.0,283.3404,48.89323,8.785516,3.6858964,56.66364,223.35779,8.513463,0.0,5.9439673,0.0,0.0,0.0,0.0,1770.6846,0.8354715,0.0,3.685736,0.0,62.067474,4.9075203,0.0,0.0,0.0,0.6052527,25.97997,26.32906,0.0,22.52763,2.1696236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3666198,1.552388,0.0,0.0,0.0,391.88785,61.37522,1308.5323,12.673854,198.41776,447.1691,135.38664,21.907269,157.81488,310.2133,1.6204673,0.0,0.0,118.5254,184.3802,0.0,0.0,89.44172,275.09296,0.4756082,5.339569,0.0,208.18726,0.0,0.0,123.688126,4.231859,10.412439,0.0,79.531364,16.511105,0.6774945,1.1407176,9.601271,85.693695,0.0,0.0,45.13537,14.207781,0.0,3.5595808,0.0,0.0,4.8965178,1066.8386,43.128593,3.165785,9.339936
1020,0.7915113,0.0,1.2304822,1.0272785,27.47062,13.46986,0.0,0.8257529,0.6625663,1.3295392,6.665225,190.76865,1.5197505,0.0,108.96884,3.7578769,5.807247,64.90792,281.75125,0.0,0.0,291.36932,89.57209,7.5046906,10.833714,31.81288,178.35133,8.174638,0.0,5.979481,0.0,0.0,0.0,0.0,1924.5624,0.0,0.0,2.9296758,0.0,50.526012,2.4059656,0.0,0.0,0.0,0.78622663,16.230886,26.408043,0.53303546,16.813126,0.42358136,0.0,1.3604517,0.0,0.0,0.0,0.0,0.0,0.0,1.8893408,0.0,0.0,0.0,361.77533,68.556526,1234.0907,17.044794,138.14673,401.2889,91.51735,22.721233,110.33531,441.64636,1.1032969,0.0,0.0,71.67882,218.0608,0.0,0.6605453,96.86984,242.97212,2.3832848,9.190179,0.0,142.9438,0.0,0.0,101.14097,2.4845374,8.569476,0.0,81.80731,18.204664,0.0,3.1156318,89.82834,58.774017,0.0,0.0,46.25837,9.671295,0.0,2.5777962,0.0,0.0,4.828983,1082.089,63.61404,16.676235,9.11431
1021,3.5230384,0.9933376,4.4908714,0.8974276,18.597143,9.3687,0.0,0.32536572,0.0,0.7229003,5.3598337,218.46915,6.3096385,0.6401455,46.663372,10.941575,4.5558763,147.03609,228.00693,0.0,0.0,288.5232,73.56233,5.688273,3.57543,46.883846,181.73763,15.188537,0.25242892,4.436363,0.0,0.0,0.0,0.43150836,1765.59,0.9933376,0.0,5.8335905,0.0,75.67003,4.744577,0.0,0.0,0.6687012,0.6371147,17.489534,28.899803,0.8368116,17.719217,2.7299192,0.0,2.6564815,0.0,0.0,0.0,0.0,0.0,2.9881713,3.10466,0.0,0.958714,0.0,389.25024,85.87576,1057.1376,15.569109,198.00958,437.55148,160.34596,36.16035,120.19112,411.6012,2.543217,0.0,0.0,145.61037,293.3969,0.0,0.5352695,101.63651,197.56343,2.5879815,7.097766,0.0,227.10085,0.0,0.0,107.086815,6.250835,11.356154,0.0,61.48387,26.718666,0.37379006,1.3228737,29.590742,105.247734,0.0,0.0,55.410896,24.518347,0.0,2.3563724,0.0,0.35922763,12.928655,996.79016,46.12311,6.1374106,8.640366
1022,0.0,0.0,6.745283,0.84887254,16.397179,9.6653385,0.0,0.5100328,0.0,0.5556791,8.63884,223.94948,0.58238983,0.0,56.68591,1.4105796,5.5392847,63.895546,255.05539,0.0,0.0,281.1984,55.733753,7.742908,6.2578864,45.340557,241.9493,15.404105,1.6376122,5.1063223,0.0,0.0,0.0,0.0,1742.1641,0.0,0.0,3.1876636,0.0,74.82413,3.650477,0.0,0.0,1.0482342,0.99872035,9.2313595,28.528946,0.0,26.196068,1.0939037,0.0,0.55569166,0.0,0.0,0.0,0.0,0.0,0.0,0.8967177,0.0,0.0,0.0,385.69836,99.441284,1303.6273,20.216324,144.55652,438.10126,116.62518,37.543163,137.02133,426.67682,4.1897726,0.0,0.0,84.27152,154.39473,0.0,0.0,89.9676,303.8645,2.6537457,13.247254,0.0,169.56909,0.0,0.0,102.71226,3.8008246,5.406071,0.0,81.6155,16.433239,0.0,1.890451,33.902,58.620922,0.0,0.0,66.296165,10.006938,0.0,3.0785565,0.0,0.5631136,3.9853854,1055.7056,48.830704,10.591269,12.83117
1023,0.0,0.8577359,7.6687236,2.420791,12.210634,28.416967,0.0,1.4262749,1.1442571,0.0,4.7441883,176.72601,41.452965,0.0,39.189796,34.80566,3.739308,287.87845,180.66982,0.0,0.0,457.25623,89.760796,3.3957646,4.7260075,37.47635,92.1774,4.6939754,0.0,3.439021,0.0,0.0,0.0,9.97364,1438.8119,1.3935821,0.0,6.372486,0.0,39.735123,0.45541868,0.0,0.0,1.6104976,0.0,8.7329035,30.92039,2.3817606,9.432941,0.46601763,0.0,2.886051,0.0,0.0,1.6780368,0.0,0.0,1.9437168,27.801334,0.0,1.5445948,0.0,393.4164,205.08424,676.3759,6.5863886,133.85,468.2038,154.009,28.376286,64.70969,571.6688,4.8270535,0.0,0.0,208.5631,603.68933,0.0,0.43631762,145.5732,142.00293,11.497246,21.447023,0.0,548.15015,0.0,9.955557,68.767815,1.6265615,16.795176,0.0,41.920444,28.948593,0.0,2.576113,16.216084,50.30194,0.0,0.0,90.87378,24.290684,0.0,1.5921651,0.0,0.0,7.242175,726.77014,56.772327,10.1862545,5.4420705
1024,0.29565576,0.5688317,1.9091173,1.1346095,19.743122,11.350989,0.0,0.4215482,21.895681,0.49551326,21.957428,283.76605,27.199911,0.0,54.472736,23.432247,6.6161227,265.4903,227.49171,0.0,0.0,497.55066,92.033745,5.324488,7.797729,26.48721,42.322945,3.2919014,1.0495585,1.3135034,0.0,0.0,0.0,0.0,1306.2274,0.5688317,0.0,7.2857184,0.0,129.09135,2.0695686,0.0,0.0,2.9341843,0.0,2.5907567,59.743702,2.6692953,5.751486,3.244278,0.0,0.469402,0.0,0.0,0.0,0.0,0.0,17.93297,27.177563,0.0,0.0,0.8479264,339.90256,185.17317,698.36285,10.384307,201.8341,346.45862,73.86173,15.97578,31.322174,331.17285,3.3855462,0.0,0.0,416.77176,554.0099,0.0,2.7262263,64.449615,71.39616,4.728999,25.359152,0.0,194.6835,4.9600034,16.02247,89.650955,2.178096,31.59855,0.0,27.553122,252.4505,7.8835106,2.0106437,19.598295,257.691,0.0,2.7121232,171.32762,35.61358,2.0741622,0.84511447,0.0,0.0,9.102416,852.2116,58.97165,16.008366,4.7214856
1025,2.238895,0.5941131,5.120999,0.7365203,21.971996,10.731325,0.0,0.0,0.0,0.5175361,6.90823,222.68343,4.1188545,0.82507646,53.294785,7.975348,5.7450986,100.60278,236.85188,0.0,0.0,288.40292,67.99628,6.932797,4.2135134,44.042603,200.7915,12.396774,0.32535282,6.048078,0.0,0.0,0.0,0.0,1820.385,0.5941131,0.0,6.8284745,0.0,71.17659,3.4897923,0.0,0.0,0.8618815,0.43040192,19.33683,28.199657,0.3408488,17.821064,1.9156575,0.0,0.9640143,0.0,0.0,0.0,0.0,0.0,0.9718185,1.3378744,0.0,0.0,0.0,381.4942,72.537254,1227.4152,17.241077,178.42949,417.68396,128.64378,32.848255,121.19108,405.66833,2.6723769,0.0,0.0,116.40755,246.67041,0.0,0.3408488,92.37419,227.98232,1.3719262,5.4771414,0.0,185.13023,0.0,0.0,114.52069,4.041061,10.268967,0.0,79.2927,16.468122,0.48177388,3.2541044,28.556524,77.17719,0.0,0.0,55.246353,12.468451,0.0,2.5312576,0.0,0.4630045,6.794511,1028.1407,47.524784,8.021031,7.6109643
1026,0.0,0.0,13.720736,3.0378103,20.251335,14.483429,0.0,0.7509494,0.5994888,0.0,15.504316,167.95389,0.7514105,0.0,221.0184,3.3343916,5.9705095,94.096466,463.67468,0.0,0.0,360.05295,56.69334,6.8106656,32.31803,3.206898,54.071316,4.9108033,1.7821074,1.3703644,0.0,0.0,0.0,0.0,1882.1722,0.0,0.0,5.031692,0.0,40.337605,4.0177245,0.0,0.0,0.0,0.0,1.1660273,85.498634,4.2715473,13.770462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5993478,1.7760268,0.0,0.0,0.0,386.37527,139.2531,795.18427,12.774591,58.29932,409.44348,58.85123,22.899893,32.55083,555.466,0.0,0.0,0.0,117.20955,332.80798,3.6125567,1.2546635,74.29049,230.90125,42.561275,82.59524,0.0,49.03639,0.0,24.90994,101.535446,1.5953012,15.774958,0.0,37.746017,47.36177,0.0,7.3165555,96.900826,72.15148,0.0,0.0,102.98557,47.177937,0.0,0.0,0.0,0.0,4.323941,960.3851,77.05622,49.10814,14.460181
1027,0.0,0.2790738,58.363197,8.807694,79.34312,1142.37,0.0,0.36415383,12.435408,0.0,255.33357,26.642567,0.0,0.0,23.031353,3.6599696,8.972353,27.681208,18.9641,0.0,0.0,174.1613,69.49553,0.0,0.0,1.0734216,17.878563,1.3409657,0.37859356,1.2521445,0.0,0.0,0.0,0.0,897.82025,0.0,0.0,1.3508173,0.0,83.19724,0.0,1.1213986,2.6997688,79.75482,18.99047,25.965084,0.60029966,3.8847682,49.39927,115.41651,0.0,7.9649463,1.7139024,0.40889946,0.0,0.0,0.0,0.23797171,1.8786453,0.0,0.0,0.0,4.8749204,41.76784,86.569786,79.152664,33.94814,9.796125,42.41265,176.091,5.5319858,31.279804,43.189205,10.89842,0.0,356.4816,14.2763815,0.0,0.0,2188.9631,45.647064,26.340633,57.39512,1.345692,143.41188,0.0,29.542767,2.106685,1.5097127,11.691127,0.0,0.9807461,59.36681,5.4288273,0.3290467,60.821686,8.568462,0.0,35.543606,1326.1232,203.4518,4.8421755,0.94640887,2.1466916,4.4576077,35.417297,202.95474,1.1177261,6.6157455,23.592192
1028,0.0,0.0,43.38548,2.520004,41.62624,722.4409,0.0,1.3209668,3.1090004,0.0,62.99708,41.910175,6.836334,0.0,0.0,7.03642,15.103303,95.44205,25.491245,0.0,0.0,333.42657,28.186111,0.0,2.4772897,0.45469522,37.616722,1.2951673,20.711113,0.0,0.0,0.0,0.0,37.45564,996.1816,0.0,0.0,0.5873193,0.0,26.795052,0.0,1.6764547,0.57245326,49.77775,29.164692,3.633756,11.336715,119.02018,14.759023,80.54671,0.0,37.917877,0.0,0.0,0.0,0.0,0.0,0.0,3.3292985,0.0,1.1693532,0.0,27.911718,144.13382,115.42686,324.14053,91.74017,64.71507,44.146797,448.66214,11.834925,166.36906,36.103565,0.72354525,2.2123075,471.12756,45.567932,0.0,0.0,1517.2697,45.770695,33.062862,37.55427,0.0,143.65286,0.0,0.8859164,7.2394776,0.0,17.230309,0.0,0.0,97.2554,0.0,0.0,5.704644,5.513927,0.0,0.0,745.9568,745.65356,0.0,0.0,1.6927038,0.0,120.007164,166.9721,5.893278,48.935394,2.7842402
